shotDistance,shotAngle,is_rebound,goal
51.2249938995,-51.3401917459,0,0
33.2866339542,-57.2647737279,0,0
47.5078940809,-30.3432488842,0,0
57.1401785086,32.8557219504,0,0
55.0817574157,-15.8025139539,0,0
10.1980390272,11.309932474,0,0
13.0384048104,57.5288077092,1,0
18.2482875909,-80.537677792,0,0
46.8614980554,39.8055710923,0,0
33.4215499341,-51.0724564072,0,0
34.885527085,27.2995722113,0,0
26.3058928759,-81.2538377374,0,0
8.60232526704,-35.537677792,0,0
58.6941223633,23.0704122498,0,0
20.8086520467,-35.2175929682,0,1
15.6524758425,63.4349488229,0,0
8.0622577483,-82.8749836511,0,0
53.8516480713,31.3286928678,1,0
34.6698716467,33.231711068,0,0
19.0262975904,-3.01278750418,0,0
51.0098029794,1.12330271408,0,1
29.2745623366,7.85331330198,0,0
41.0487515035,55.9228047199,0,0
13.3416640641,12.9946167919,0,0
19.7230829233,-59.5344550805,0,0
46.4004310325,37.1168606833,0,0
45.4862616622,33.3407073465,0,0
41.2310562562,-39.0938588862,0,0
59.5399025864,29.1480718457,1,0
21.1896201004,19.2900462192,0,0
31.2409987036,-50.1944289077,0,0
8.54400374532,-20.5560452196,0,0
9.43398113206,-32.0053832081,1,0
48.0936586256,3.576334375,0,0
10.8166538264,56.309932474,1,0
39.1152144312,-4.398705355,1,1
17.0293863659,49.7636416907,0,0
34.3656805549,8.36588612403,0,0
41.4366987102,8.32565033043,0,0
37.3630833845,-15.5241109968,0,0
35.8468966579,-30.1413855521,0,0
36.7695526217,45.0,0,0
33.8378486314,-34.1596945457,0,0
17.0880074906,20.5560452196,0,0
21.6333076528,-33.690067526,0,0
38.0131556175,-26.5650511771,0,0
13.6014705087,-17.1027289691,0,0
11.0453610172,5.19442890773,0,0
41.1096095822,-41.054813771,0,0
19.6468827044,-14.7435628365,0,0
29.0688837075,-26.5650511771,0,0
51.6236379966,-31.5347919052,0,0
50.4876222455,7.96961039432,0,0
68.8839603972,27.6810615685,0,0
61.400325732,16.0735741647,0,0
28.8444102037,-56.309932474,1,0
51.2445119013,-17.0205256115,0,0
24.8394846967,-49.8990924538,0,0
45.1220566907,12.8042660653,0,0
14.7648230602,28.300755766,0,0
64.0702739186,-34.1861224864,0,0
27.2946881279,-8.42696902148,0,0
52.8393792545,29.4758890032,0,0
28.4253408071,-39.2894068625,0,0
17.4642491966,-76.7594800848,0,0
55.542776308,23.3340412767,0,0
14.8660687473,70.3461759419,0,0
8.0622577483,29.7448812969,1,0
55.4436651025,-7.25319461273,0,0
41.3037528561,6.95295746817,0,0
51.8555686499,-50.4773687288,0,0
38.9486841883,48.1221304621,0,0
18.3847763109,-45.0,0,0
26.4007575649,-37.303948278,0,0
48.0208288142,31.3730051401,0,0
9.89949493661,45.0,1,0
16.9705627485,-45.0,0,1
36.0555127546,-70.5599651718,0,0
53.7401153702,-45.0,0,0
56.8858506133,10.1246716554,0,0
46.389654019,-7.43140797117,0,0
58.1893461039,-19.0577045101,0,0
6.32455532034,-71.5650511771,0,0
9.21954445729,-77.4711922908,1,0
6.0827625303,80.537677792,1,0
38.2099463491,-42.8789036033,0,0
10.4403065089,16.699244234,0,1
72.7186358508,-31.5042667192,0,0
11.401754251,-37.8749836511,0,0
16.1554944214,21.8014094864,0,0
46.3249392876,-57.3390872783,0,0
78.3900503891,29.8355391003,0,0
10.1980390272,-78.690067526,0,0
24.0831891576,-4.76364169073,0,0
63.5688603013,-19.2900462192,0,0
51.4003891036,37.092837297,0,0
43.3243580449,18.8531587644,0,0
43.5660418216,9.24611274556,0,0
20.1246117975,26.5650511771,0,0
69.6419413859,-32.0925913287,0,0
8.54400374532,20.5560452196,0,0
69.4622199472,30.2564371635,0,0
4.24264068712,-45.0,0,0
32.2490309932,-7.1250163489,0,0
31.8904374382,-48.8140748343,0,0
20.2484567313,20.2248594312,0,0
69.89277502,-33.917430537,0,0
52.8015151298,52.696051722,1,0
16.4924225025,14.0362434679,1,0
38.2099463491,47.1210963967,0,0
48.6004115209,36.634113876,0,0
29.7321374946,19.6538240581,0,0
33.2866339542,-57.2647737279,0,0
32.3882694814,-81.1193408495,0,0
28.231188427,67.0678995624,0,0
29.8328677804,76.4295656148,0,0
50.2493781056,42.5804907833,0,0
12.0415945788,-41.6335393366,0,0
47.8016736109,-15.7807533095,0,0
45.607017004,-52.1250163489,0,0
31.1448230048,47.6025622025,0,0
30.886890423,29.0546040991,0,0
21.9317121995,-46.847610266,0,0
30.4138126515,-62.5924245622,0,0
44.2718872424,18.4349488229,0,0
41.4366987102,8.32565033043,0,0
32.0156211872,-1.78991060825,0,0
17.4642491966,-23.6293777307,0,0
43.0116263352,54.462322208,0,0
58.7962583844,-41.5526131481,0,0
30.4795013083,48.9909130984,0,0
27.2946881279,-28.4429286244,0,0
22.1359436212,18.4349488229,0,0
7.07106781187,-45.0,1,1
28.3019433962,57.9946167919,0,0
9.21954445729,-40.601294645,0,0
37.3363094052,7.69605172202,0,0
48.2700735446,-39.9575489308,0,0
36.4005494464,15.9453959009,0,1
6.40312423743,-38.6598082541,0,0
70.2139587262,35.7273982228,0,0
62.9682459657,-10.0606897953,0,0
19.3132079158,21.2505055071,0,0
6.40312423743,-51.3401917459,0,0
62.2976725087,-18.7257878453,0,0
44.4072066223,-7.76516601843,0,0
